YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
558,12,14,0,0,0,2,1,0,7,TURKEY,0,"MARMARA SEA, STRAIT OF BOSPORUS",40.9,28.8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,0,0,0,0,0,4,1,0,7,GREECE,0,DODECANESE ISLANDS,37.1,27.7,50,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684,11,29,0,0,0,4,1,0,8.4,JAPAN,0,NANKAIDO,32.5,134,85,3,0,1.6,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
701,5,12,0,0,0,4,1,0,7,JAPAN,0,SEA OF JAPAN,35.7,135.4,85,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
704,8,2,0,0,0,4,1,0,7,JAPAN,0,KUMANONADA,33.8,136.7,85,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,10,26,0,0,0,2,1,0,7.3,TURKEY,0,MARMARA SEA,40.7,29.3,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0
744,6,30,0,0,0,4,1,0,6.4,JAPAN,0,SW. KYUSHU ISLAND,32.4,130.5,85,0,0,2,2,0,1520,4,0,0,0,0,0,2,470,2,0,0,1520,4,0,0,0,0,0,3,470,3,0,0
745,6,9,0,0,0,3,1,0,6.5,JAPAN,0,"OSAKA BAY, JAPAN",34.6,135.3,85,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
746,1,18,0,0,0,2,1,0,4.9,SYRIA,0,SYRIAN and EGYPTIAN COASTS,32,35.5,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,7,0,0,0,0,-1,6,0,0,JAPAN,0,KYUSHU ISLAND,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,7,20,0,0,0,4,6,0,6.5,JAPAN,0,N. KAGOSHIMA BAY,31.6,130.7,85,0,0,1.5,1.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
792,4,30,0,0,0,1,1,0,0,ITALY,0,GULF OF VENICE,45.5,11,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,9,18,0,0,0,2,0,0,0,JAPAN,0,"KASHIMA, JAPAN",0,0,85,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,0,0,0,0,0,1,1,0,0,GREECE,0,IONIAN SEA,36.2,23.2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,12,19,0,0,0,2,1,0,0,TURKEY,0,GULF OF ISKENDERUN,36.95,35.6,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
818,8,0,0,0,0,4,3,0,7.9,JAPAN,0,TOKAIDO,35.2,139.3,85,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
842,10,24,0,0,0,1,1,0,0,UK,0,"CHANNEL ISLANDS, ENGLAND",49.5,-2.5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
850,11,27,0,0,0,4,3,0,7,JAPAN,0,NW. HONSHU ISLAND,39,139.9,85,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0
855,6,0,0,0,0,-1,0,0,0,JAPAN,0,NANKAIDO,0,0,85,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859,0,0,0,0,0,2,1,0,0,TURKEY,0,SAMANDAGI,36.08,36.25,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,7,10,0,0,0,4,3,0,7,JAPAN,0,NW. HONSHU ISLAND,37.1,138,85,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0
869,7,13,0,0,0,4,1,0,8.6,JAPAN,0,SANRIKU,38.5,143.8,85,0,0,4,4,0,1000,3,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,0
881,4,8,0,0,0,2,0,0,0,ISRAEL,0,ISRAEL AND EGYPTIAN COASTS,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881,6,10,0,0,0,0,1,0,0,SPAIN,0,CADIZ,36,-8,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,8,2,0,0,0,3,1,0,6.5,JAPAN,0,NIIGATA,37.5,138.1,85,0,0,2,1,0,2000,4,0,0,0,0,0,0,0,0,0,0,2000,4,0,0,0,0,0,0,0,0,0,0
887,8,26,0,0,0,4,1,0,8.6,JAPAN,0,NANKAIDO,33,135.3,85,0,0,3,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
900,0,0,0,0,0,1,0,0,0,INDIA,0,NAGAPATTINAM,10.46,79.53,60,0,0,0,0,0,200,3,0,0,0,0,0,3,0,2,0,0,200,3,0,0,0,0,0,3,0,2,0,0
922,0,0,0,0,0,4,1,0,7,JAPAN,0,KUMANONADA,33.8,136.7,85,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957,4,4,0,0,0,1,1,0,0,IRAN,0,PERSIAN GULF OR CASPIAN SEA,0,0,40,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
963,7,22,0,0,0,3,1,0,0,ITALY,0,SICILY,38,15,50,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
975,10,26,0,0,0,2,0,0,0,TURKEY,0,"MARMARA SEA, STRAIT OF BOSPORUS",41.04,28.98,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986,10,26,0,0,0,3,1,0,7.5,TURKEY,0,MARMARA SEA,40.8,29.2,50,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,4,5,0,0,0,1,1,0,0,SYRIA,0,SYRIAN COASTS,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,4,11,0,0,0,2,1,0,6.5,IRAN,0,PERSIAN GULF,27.665,52.348,30,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,16000,4,0,0,0,0,0,4,0,0,0,0
1026,6,16,0,0,0,3,1,0,7.5,JAPAN,0,"OFF MASUDA, SHIMANE PREFECTURE",34.8,131.8,85,10,0,3.3,3,0,1001,4,0,0,0,0,0,4,3000,4,0,0,1001,4,0,0,0,0,0,3,3000,4,0,0
1033,12,5,0,0,0,4,1,0,0,SYRIA,0,AKKO,33,35,50,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,70000,4,0,0,0,0,0,3,0,3,0,0
1039,2,2,0,0,0,1,1,0,6.8,TURKEY,0,CONSTANTINOPLE,38.4,27.3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0
1050,0,0,0,0,0,3,6,0,0,GREECE,0,ISLAND OF THIRA,36.404,25.396,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,9,23,0,0,0,3,1,0,0,TURKEY,0,MARMARA SEA,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,3,18,0,0,0,3,1,0,0,ISRAEL,0,GULF OF AQABA,29.5,34.95,30,0,0,0,4,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0
1076,10,31,0,0,0,1,0,0,0,CHINA,0,"GUANGDONG PROVINCE, SOUTH CHINA SEA",23,117,84,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1088,5,13,0,0,0,3,1,0,0,JAPAN,0,"MIYAKO, IWATE PREFECTURE",39.64,141.96,85,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,6,10,0,0,0,4,1,0,7,JAPAN,0,"MIYAKO, IWATE PREFECTURE",40.5,143,85,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1092,9,13,0,0,0,-1,9,0,0,JAPAN,0,"TERADOMARI, NIIGARA PREFECTURE",0,0,85,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
